Kind,Name,Cyclomatic,MaxCyclomatic,RatioCommentToCode,AvgCyclomatic,CountLineCode,CountLine,AvgCountLine
File,"app.h",,0,"0,25",0,8,17,0
File,"auth.c",,16,"0,01",6,159,187,17
File,"auth.c.func-c.html",0,0,"0,00",0,0,145,0
File,"auth.c.func.html",0,0,"0,00",0,0,145,0
File,"auth.c.gcov.html",0,0,"0,00",0,0,263,0
File,"auth.h",,0,"0,33",0,6,16,0
Function,"auth_add",7,,"0,00",,20,21,
Function,"auth_change_password",2,,"0,00",,5,5,
Function,"auth_check",9,,"0,00",,20,20,
Function,"auth_delete",2,,"0,00",,5,5,
Function,"auth_init",3,,"0,00",,10,10,
Function,"auth_rename_user",4,,"0,00",,13,15,
Function,"cancella_utente",3,,"0,14",,14,15,
File,"config.h",,0,"0,00",0,0,4,0
Function,"crea_utente",3,,"0,10",,20,24,
Static Function,"ct_str_eq",5,,"0,00",,10,10,
Function,"demo_comment_mix",1,,"0,86",,7,27,
Function,"demo_ub",2,,"0,00",,12,12,
Function,"demo_unspecified",1,,"0,00",,6,6,
Function,"effettua_login",4,,"0,00",,19,20,
Static Function,"f_side",1,,"0,00",,1,1,
Static Function,"find_user",5,,"0,00",,20,20,
Static Function,"g_side",1,,"0,00",,1,1,
File,"gcov.css",0,0,"0,00",0,0,1073,0
File,"index-sort-f.html",0,0,"0,00",0,0,105,0
File,"index-sort-f.html",0,0,"0,00",0,0,117,0
File,"index-sort-l.html",0,0,"0,00",0,0,105,0
File,"index-sort-l.html",0,0,"0,00",0,0,117,0
File,"index.html",0,0,"0,00",0,0,105,0
File,"index.html",0,0,"0,00",0,0,117,0
Function,"main",15,,"0,04",,51,58,
File,"main.c",,71,"0,07",10,284,354,30
File,"main.c.func-c.html",0,0,"0,00",0,0,152,0
File,"main.c.func.html",0,0,"0,00",0,0,152,0
File,"main.c.gcov.html",0,0,"0,00",0,0,430,0
Function,"modifica_utente",71,,"0,00",,143,152,
File,"pthread_compat.h",,0,"0,00",0,0,48,0
Function,"read_line",3,,"0,00",,10,10,
Static Function,"rewrite_db_skip_or_replace",16,,"0,02",,51,60,
Static Function,"trim_nl",2,,"0,00",,4,4,
